Class of Travel,Quota,Source Station,Destination Station,Number of Passengers,Age of Passengers,Travel Distance,Number of Stations,Travel Time,Train Type,Seat Availability,Special Considerations,Holiday or Peak Season,Waitlist Position,Confirmation Status,journey_month,journey_dayofweek,days_before_journey
2AC,Premium Tatkal,ASR,NJP,2,Child,721,15,47,Superfast,92,Senior Citizen,No,0.0,1,1,3,244
1AC,Ladies,ASR,LKO,1,Senior Citizen,210,14,25,Rajdhani,6,Senior Citizen,No,0.0,1,1,4,244
Sleeper,Tatkal,CNB,JP,4,Adult,807,16,10,Rajdhani,455,Senior Citizen,No,30.0,0,1,5,244
2AC,Premium Tatkal,HWH,BBS,1,Child,528,6,10,Express,421,Defense Quota,No,170.0,0,1,6,244
3AC,Ladies,BBS,BCT,3,Senior Citizen,1878,4,38,Superfast,458,Defense Quota,Yes,0.0,1,1,0,244
Sleeper,General,HWH,JHS,4,Child,221,11,38,Rajdhani,388,Senior Citizen,No,139.0,0,1,1,244
2AC,General,GKP,JHS,3,Senior Citizen,1619,18,38,Rajdhani,261,Defense Quota,Yes,0.0,1,1,2,244
Sleeper,Ladies,NDLS,UMB,5,Child,813,6,39,Shatabdi,454,No_Special_Consideration,Yes,77.0,0,1,3,244
3AC,Ladies,NDLS,HWH,5,Adult,1397,6,27,Shatabdi,413,Senior Citizen,No,92.0,0,1,4,244
3AC,Tatkal,BCT,LTT,4,Senior Citizen,723,13,11,Shatabdi,438,Senior Citizen,No,0.0,1,2,5,244
2AC,Premium Tatkal,SBC,JU,1,Child,1995,12,5,Rajdhani,443,No_Special_Consideration,Yes,165.0,0,2,6,244
Sleeper,Tatkal,BCT,BBS,5,Child,1480,7,36,Express,69,No_Special_Consideration,Yes,0.0,1,2,0,244
Sleeper,Premium Tatkal,BBS,MAS,2,Child,1858,2,17,Rajdhani,216,No_Special_Consideration,No,0.0,1,2,1,244
1AC,Premium Tatkal,BSB,SBC,5,Adult,1047,4,35,Shatabdi,417,Senior Citizen,Yes,0.0,1,2,2,244
2AC,Premium Tatkal,UMB,KOAA,4,Adult,1678,14,47,Shatabdi,11,Defense Quota,No,0.0,1,2,3,244
1AC,Ladies,CNB,GKP,3,Senior Citizen,544,13,34,Rajdhani,457,No_Special_Consideration,No,95.0,0,2,4,244
1AC,General,JP,SBC,5,Child,966,10,31,Superfast,461,Defense Quota,No,0.0,1,2,5,244
Sleeper,Ladies,BSB,CNB,5,Senior Citizen,1635,15,24,Superfast,432,Senior Citizen,No,0.0,1,2,6,244
1AC,General,UMB,KOAA,4,Adult,542,2,14,Express,310,No_Special_Consideration,Yes,145.0,0,2,0,244
Sleeper,General,CNB,BSB,2,Child,870,4,14,Shatabdi,270,Senior Citizen,Yes,0.0,1,2,1,244
2AC,Tatkal,JHS,MAS,4,Child,1837,7,24,Shatabdi,458,No_Special_Consideration,No,0.0,1,2,2,244
1AC,Tatkal,BSB,GKP,5,Adult,242,12,38,Express,52,Defense Quota,Yes,0.0,1,2,3,244
1AC,General,JU,HWH,3,Adult,1678,6,19,Superfast,87,Defense Quota,No,97.0,0,2,4,244
1AC,General,PNBE,BCT,5,Adult,1005,18,20,Shatabdi,66,Senior Citizen,Yes,0.0,1,2,5,244
2AC,Premium Tatkal,NDLS,HWH,1,Senior Citizen,1778,11,47,Shatabdi,52,No_Special_Consideration,Yes,128.0,0,2,6,244
2AC,Tatkal,NJP,KOAA,4,Senior Citizen,1149,12,40,Shatabdi,411,Senior Citizen,No,0.0,1,2,0,244
3AC,Ladies,BSB,LTT,5,Child,443,11,2,Rajdhani,3,Senior Citizen,No,0.0,1,2,1,244
Sleeper,Ladies,JHS,GKP,3,Child,1659,9,13,Superfast,145,No_Special_Consideration,No,74.0,0,2,2,244
2AC,Premium Tatkal,JHS,JU,5,Adult,815,17,47,Rajdhani,287,Senior Citizen,Yes,0.0,1,2,3,244
1AC,Tatkal,SBC,NJP,3,Senior Citizen,1455,18,44,Shatabdi,365,Senior Citizen,No,0.0,1,2,4,244
2AC,General,HWH,BSB,3,Senior Citizen,1556,16,22,Express,139,No_Special_Consideration,No,163.0,0,2,5,244
Sleeper,Tatkal,SC,KOAA,5,Senior Citizen,1627,19,28,Superfast,9,No_Special_Consideration,Yes,38.0,0,2,6,244
3AC,Ladies,MMCT,JU,1,Senior Citizen,442,12,16,Shatabdi,259,Defense Quota,No,0.0,1,2,0,244
Sleeper,Premium Tatkal,KOAA,BSB,2,Adult,1913,4,36,Superfast,16,Senior Citizen,No,124.0,0,2,1,244
2AC,Tatkal,CSMT,JP,2,Senior Citizen,1918,11,22,Shatabdi,110,Senior Citizen,No,0.0,1,2,2,244
1AC,Premium Tatkal,JU,JHS,1,Adult,202,13,28,Shatabdi,6,Senior Citizen,Yes,11.0,0,2,3,244
2AC,General,ADI,UMB,2,Adult,1718,8,4,Shatabdi,431,No_Special_Consideration,No,0.0,1,2,4,244
Sleeper,Premium Tatkal,BBS,BSB,2,Adult,942,7,27,Express,186,No_Special_Consideration,No,0.0,1,2,5,244
Sleeper,Tatkal,JP,NJP,3,Adult,605,16,34,Superfast,371,Senior Citizen,No,0.0,1,3,6,244
Sleeper,Tatkal,JHS,BSB,1,Child,1677,16,47,Superfast,318,No_Special_Consideration,No,0.0,1,3,0,244
2AC,Ladies,KOAA,JP,5,Adult,885,8,6,Superfast,255,Defense Quota,No,136.0,0,3,1,244
2AC,Premium Tatkal,JHS,NDLS,4,Adult,1357,11,18,Express,33,No_Special_Consideration,No,0.0,1,3,2,244
2AC,General,JU,LKO,2,Child,390,10,45,Superfast,113,No_Special_Consideration,Yes,0.0,1,3,3,244
3AC,Ladies,CNB,LTT,4,Adult,392,18,26,Express,369,No_Special_Consideration,Yes,0.0,1,3,4,244
2AC,Premium Tatkal,PNBE,CSMT,5,Senior Citizen,1219,18,14,Superfast,218,Senior Citizen,Yes,0.0,1,3,5,244
3AC,Premium Tatkal,MAS,CNB,1,Senior Citizen,976,4,36,Superfast,98,No_Special_Consideration,Yes,0.0,1,3,6,244
3AC,Premium Tatkal,BCT,CNB,2,Adult,1758,10,22,Rajdhani,137,No_Special_Consideration,Yes,0.0,1,3,0,244
3AC,Ladies,NDLS,UMB,2,Child,1011,3,12,Rajdhani,184,Defense Quota,Yes,0.0,1,3,1,244
3AC,Tatkal,SBC,BBS,3,Child,1135,15,39,Rajdhani,302,Senior Citizen,Yes,59.0,0,3,2,244
3AC,Premium Tatkal,ASR,MAS,5,Child,189,12,3,Express,347,Senior Citizen,Yes,0.0,1,3,3,244
Sleeper,Ladies,JU,JU,5,Child,1235,12,39,Superfast,429,No_Special_Consideration,Yes,0.0,1,3,4,244
2AC,Tatkal,MMCT,LTT,1,Child,401,12,15,Shatabdi,57,No_Special_Consideration,Yes,0.0,1,3,5,244
2AC,Ladies,MAS,MAS,5,Adult,673,5,18,Shatabdi,222,Senior Citizen,Yes,0.0,1,3,6,244
1AC,Ladies,JU,LKO,1,Child,1370,10,12,Superfast,156,Senior Citizen,No,0.0,1,3,0,244
3AC,Premium Tatkal,UMB,NJP,1,Adult,1229,18,41,Express,354,Senior Citizen,Yes,0.0,1,3,1,244
1AC,General,BSB,MAS,3,Senior Citizen,550,2,16,Rajdhani,127,Defense Quota,No,102.0,0,3,2,244
1AC,Ladies,NJP,BCT,4,Child,502,16,13,Shatabdi,110,Senior Citizen,Yes,0.0,1,3,3,244
1AC,General,JHS,JHS,5,Child,1036,10,40,Shatabdi,79,No_Special_Consideration,Yes,0.0,1,3,4,244
Sleeper,Premium Tatkal,NJP,JHS,5,Senior Citizen,1600,11,33,Shatabdi,455,Senior Citizen,No,0.0,1,3,5,244
2AC,Ladies,JU,BCT,2,Adult,507,12,15,Shatabdi,120,No_Special_Consideration,Yes,145.0,0,3,6,244
3AC,Premium Tatkal,HWH,BSB,2,Senior Citizen,1867,16,37,Shatabdi,68,Defense Quota,Yes,90.0,0,3,0,244
1AC,Premium Tatkal,SBC,JU,1,Senior Citizen,1366,18,28,Rajdhani,275,Senior Citizen,Yes,0.0,1,3,1,244
Sleeper,General,BSB,CSMT,1,Child,1615,7,29,Shatabdi,409,Defense Quota,No,0.0,1,3,2,244
1AC,Tatkal,JU,BSB,4,Child,1074,2,8,Rajdhani,194,No_Special_Consideration,No,0.0,1,3,3,244
3AC,Premium Tatkal,JU,BSB,1,Adult,94,2,41,Superfast,369,Defense Quota,Yes,0.0,1,3,4,244
1AC,Tatkal,NJP,UMB,1,Child,472,7,21,Rajdhani,210,Senior Citizen,No,0.0,1,3,5,244
Sleeper,Premium Tatkal,MMCT,NDLS,2,Senior Citizen,1189,13,7,Express,352,No_Special_Consideration,Yes,0.0,1,3,6,244
3AC,Premium Tatkal,BCT,BCT,2,Child,1425,2,5,Rajdhani,62,No_Special_Consideration,Yes,0.0,1,3,0,244
1AC,Premium Tatkal,SC,JP,4,Child,477,8,18,Express,497,Defense Quota,No,108.0,0,3,1,244
Sleeper,General,LKO,SC,2,Adult,893,11,15,Shatabdi,101,No_Special_Consideration,Yes,0.0,1,4,2,244
1AC,Premium Tatkal,NJP,GKP,1,Senior Citizen,1197,6,33,Shatabdi,60,Defense Quota,No,197.0,0,4,3,244
Sleeper,General,JHS,CSMT,1,Senior Citizen,1557,13,11,Rajdhani,105,Senior Citizen,Yes,0.0,1,4,4,244
3AC,Ladies,JHS,CNB,1,Child,637,17,15,Superfast,213,Senior Citizen,Yes,0.0,1,4,5,244
3AC,Ladies,BCT,MMCT,5,Adult,106,8,17,Rajdhani,167,Defense Quota,No,0.0,1,4,6,244
2AC,Tatkal,NDLS,HWH,3,Adult,1600,11,19,Superfast,202,Defense Quota,No,0.0,1,4,0,244
3AC,Tatkal,HWH,ADI,4,Senior Citizen,1327,5,13,Express,84,No_Special_Consideration,Yes,0.0,1,4,1,244
Sleeper,General,NDLS,BBS,3,Senior Citizen,297,9,8,Rajdhani,16,No_Special_Consideration,Yes,0.0,1,4,2,244
Sleeper,General,PNBE,MMCT,2,Adult,289,9,38,Shatabdi,367,Senior Citizen,Yes,0.0,1,4,3,244
Sleeper,Premium Tatkal,LTT,KOAA,2,Child,935,18,10,Express,294,Defense Quota,No,170.0,0,4,4,244
Sleeper,General,NDLS,NDLS,3,Senior Citizen,860,19,37,Rajdhani,373,Senior Citizen,Yes,0.0,1,4,5,244
2AC,Tatkal,HWH,NJP,2,Senior Citizen,1255,7,12,Shatabdi,117,No_Special_Consideration,No,0.0,1,4,6,244
2AC,Tatkal,ASR,BBS,2,Senior Citizen,1771,3,16,Express,9,Senior Citizen,No,0.0,1,4,0,244
Sleeper,Tatkal,HWH,UMB,5,Senior Citizen,647,19,2,Express,215,No_Special_Consideration,No,0.0,1,4,1,244
2AC,General,JP,UMB,3,Child,1938,18,22,Superfast,113,No_Special_Consideration,No,0.0,1,4,2,244
2AC,Ladies,CSMT,JHS,2,Senior Citizen,874,13,2,Shatabdi,291,No_Special_Consideration,Yes,0.0,1,4,3,244
1AC,Premium Tatkal,NJP,HWH,1,Senior Citizen,1744,3,45,Superfast,103,No_Special_Consideration,No,0.0,1,4,4,244
3AC,Ladies,BCT,KOAA,1,Child,1226,15,12,Rajdhani,221,No_Special_Consideration,No,0.0,1,4,5,244
Sleeper,General,SBC,JU,3,Senior Citizen,223,3,16,Express,287,Defense Quota,Yes,153.0,0,4,6,244
2AC,Ladies,LKO,NJP,4,Adult,470,2,28,Express,424,Senior Citizen,Yes,155.0,0,4,0,244
1AC,General,CSMT,MMCT,3,Senior Citizen,145,6,41,Shatabdi,307,Senior Citizen,No,0.0,1,4,1,244
2AC,Tatkal,LKO,BSB,4,Senior Citizen,1666,4,8,Superfast,193,Senior Citizen,No,50.0,0,4,2,244
2AC,General,MAS,UMB,5,Adult,1617,16,31,Superfast,452,No_Special_Consideration,Yes,0.0,1,4,3,244
1AC,Tatkal,BBS,LKO,1,Child,697,7,3,Express,309,Senior Citizen,Yes,3.0,0,4,4,244
1AC,Ladies,LKO,KOAA,2,Child,194,15,10,Superfast,361,No_Special_Consideration,No,0.0,1,4,5,244
1AC,Ladies,HWH,JP,1,Adult,1974,19,35,Shatabdi,310,No_Special_Consideration,Yes,66.0,0,4,6,244
2AC,General,JU,BSB,1,Child,1334,19,12,Express,424,Senior Citizen,No,0.0,1,4,0,244
Sleeper,Ladies,LKO,JU,4,Child,903,8,44,Superfast,258,No_Special_Consideration,No,139.0,0,4,1,244
Sleeper,Tatkal,MAS,MMCT,1,Senior Citizen,1382,19,45,Superfast,357,No_Special_Consideration,No,0.0,1,4,2,244
3AC,General,HWH,GKP,4,Adult,1090,4,8,Superfast,22,Defense Quota,No,0.0,1,4,3,244
2AC,General,ADI,JP,1,Senior Citizen,1330,3,20,Rajdhani,289,Defense Quota,No,107.0,0,5,4,244
1AC,Tatkal,JHS,JU,1,Child,1018,3,25,Shatabdi,36,Senior Citizen,No,0.0,1,5,5,244
3AC,Tatkal,KOAA,LKO,4,Adult,815,9,3,Superfast,234,Senior Citizen,No,9.0,0,5,6,244
2AC,Premium Tatkal,NJP,HWH,2,Adult,544,2,3,Rajdhani,476,No_Special_Consideration,No,0.0,1,5,0,244
3AC,Ladies,GKP,CSMT,1,Child,375,8,12,Shatabdi,124,No_Special_Consideration,Yes,0.0,1,5,1,244
Sleeper,Premium Tatkal,BCT,CSMT,1,Child,285,8,43,Superfast,412,Defense Quota,Yes,18.0,0,5,2,244
2AC,Tatkal,PNBE,JU,5,Senior Citizen,458,3,40,Rajdhani,42,Defense Quota,No,0.0,1,5,3,244
Sleeper,Ladies,ADI,ADI,4,Child,358,15,7,Shatabdi,301,No_Special_Consideration,Yes,24.0,0,5,4,244
Sleeper,General,NDLS,ADI,1,Child,872,10,13,Rajdhani,433,Senior Citizen,No,152.0,0,5,5,244
1AC,Tatkal,MMCT,SBC,4,Senior Citizen,59,2,27,Superfast,352,Senior Citizen,Yes,0.0,1,5,6,244
Sleeper,Ladies,BSB,CSMT,2,Child,792,10,9,Express,499,No_Special_Consideration,No,15.0,0,5,0,244
3AC,Ladies,PNBE,ASR,3,Child,1089,18,33,Express,483,Defense Quota,No,0.0,1,5,1,244
1AC,Tatkal,PNBE,JP,1,Child,141,8,16,Shatabdi,465,Senior Citizen,No,39.0,0,5,2,244
Sleeper,General,JHS,UMB,1,Child,1037,10,4,Superfast,48,Senior Citizen,Yes,84.0,0,5,3,244
Sleeper,Premium Tatkal,BBS,BBS,1,Adult,261,18,6,Shatabdi,185,No_Special_Consideration,No,14.0,0,5,4,244
2AC,Premium Tatkal,MMCT,JHS,3,Adult,1102,18,41,Express,485,Senior Citizen,Yes,46.0,0,5,5,244
3AC,General,NJP,NJP,5,Child,800,3,8,Express,453,Senior Citizen,Yes,142.0,0,5,6,244
1AC,General,GKP,GKP,3,Child,480,15,44,Superfast,83,Senior Citizen,No,140.0,0,5,0,244
Sleeper,Ladies,GKP,ASR,2,Senior Citizen,777,3,9,Superfast,244,No_Special_Consideration,Yes,0.0,1,5,1,244
Sleeper,Premium Tatkal,BBS,GKP,3,Senior Citizen,1329,15,15,Express,152,Defense Quota,Yes,0.0,1,5,2,244
1AC,Ladies,BSB,UMB,2,Adult,1638,3,41,Express,280,No_Special_Consideration,Yes,0.0,1,5,3,244
2AC,General,BSB,PNBE,5,Adult,1764,17,47,Express,368,Senior Citizen,Yes,0.0,1,5,4,244
Sleeper,Ladies,PNBE,JHS,3,Senior Citizen,1762,18,47,Superfast,376,Defense Quota,No,101.0,0,5,5,244
2AC,Premium Tatkal,SBC,JP,5,Child,1438,19,11,Express,75,Senior Citizen,Yes,0.0,1,5,6,244
Sleeper,Tatkal,HWH,JU,2,Senior Citizen,699,7,25,Superfast,380,Defense Quota,Yes,0.0,1,5,0,244
1AC,Ladies,LTT,BBS,2,Senior Citizen,1508,11,7,Rajdhani,287,Defense Quota,Yes,0.0,1,5,1,244
1AC,Tatkal,MAS,NDLS,2,Adult,715,7,21,Shatabdi,166,Defense Quota,Yes,0.0,1,5,2,244
3AC,General,CSMT,KOAA,1,Adult,957,3,40,Rajdhani,135,No_Special_Consideration,Yes,0.0,1,5,3,244
Sleeper,Premium Tatkal,LTT,CNB,2,Senior Citizen,398,4,37,Shatabdi,62,No_Special_Consideration,No,0.0,1,5,4,244
2AC,General,PNBE,PNBE,3,Adult,1439,3,42,Express,442,Senior Citizen,No,0.0,1,5,5,244
1AC,Premium Tatkal,ASR,LTT,4,Adult,703,19,12,Express,481,Defense Quota,No,0.0,1,5,6,244
1AC,General,SC,SBC,2,Child,1398,10,10,Shatabdi,350,Senior Citizen,Yes,141.0,0,6,0,244
Sleeper,Ladies,JP,BCT,2,Adult,1029,6,35,Shatabdi,389,No_Special_Consideration,Yes,9.0,0,6,1,244
3AC,Tatkal,LKO,CSMT,1,Senior Citizen,1313,14,45,Superfast,295,Senior Citizen,No,0.0,1,6,2,244
3AC,Ladies,LTT,PNBE,4,Senior Citizen,810,18,13,Superfast,474,Defense Quota,Yes,0.0,1,6,3,244
1AC,Ladies,UMB,LKO,4,Senior Citizen,1972,5,28,Express,454,No_Special_Consideration,Yes,193.0,0,6,4,244
2AC,Premium Tatkal,KOAA,SBC,1,Senior Citizen,1601,17,12,Express,338,No_Special_Consideration,No,0.0,1,6,5,244
3AC,General,GKP,MMCT,2,Adult,1511,18,46,Superfast,174,Defense Quota,No,0.0,1,6,6,244
3AC,Ladies,MAS,CNB,5,Senior Citizen,1964,8,47,Shatabdi,408,Senior Citizen,No,0.0,1,6,0,244
Sleeper,Tatkal,PNBE,GKP,5,Senior Citizen,514,13,31,Shatabdi,95,Senior Citizen,Yes,0.0,1,6,1,244
2AC,Ladies,MMCT,NJP,4,Child,414,7,5,Express,197,Senior Citizen,No,0.0,1,6,2,244
2AC,Ladies,NJP,JP,5,Child,938,8,36,Superfast,354,Defense Quota,No,71.0,0,6,3,244
Sleeper,Premium Tatkal,UMB,BCT,1,Adult,556,3,31,Rajdhani,378,Defense Quota,No,0.0,1,6,4,244
2AC,General,JP,GKP,3,Adult,1491,17,8,Rajdhani,144,No_Special_Consideration,No,0.0,1,6,5,244
3AC,Premium Tatkal,GKP,LTT,3,Senior Citizen,498,13,11,Superfast,247,No_Special_Consideration,Yes,0.0,1,6,6,244
1AC,Premium Tatkal,MMCT,UMB,5,Child,1745,6,5,Rajdhani,304,No_Special_Consideration,No,164.0,0,6,0,244
3AC,Premium Tatkal,BCT,CNB,1,Adult,390,8,4,Rajdhani,491,Senior Citizen,Yes,17.0,0,6,1,244
2AC,Premium Tatkal,UMB,CNB,3,Child,960,5,9,Shatabdi,465,Senior Citizen,Yes,0.0,1,6,2,244
2AC,Premium Tatkal,NDLS,MMCT,5,Child,637,18,47,Rajdhani,493,Defense Quota,Yes,0.0,1,6,3,244
2AC,Ladies,JU,CNB,4,Senior Citizen,1681,17,22,Shatabdi,348,No_Special_Consideration,No,93.0,0,6,4,244
3AC,General,LKO,KOAA,4,Adult,315,19,39,Shatabdi,374,Defense Quota,Yes,111.0,0,6,5,244
2AC,General,BSB,MMCT,5,Senior Citizen,118,4,23,Shatabdi,139,Defense Quota,Yes,84.0,0,6,6,244
3AC,Ladies,SC,NDLS,3,Senior Citizen,1040,15,10,Superfast,394,Defense Quota,No,0.0,1,6,0,244
3AC,Premium Tatkal,CNB,NJP,3,Senior Citizen,1063,19,37,Rajdhani,394,Senior Citizen,Yes,0.0,1,6,1,244
2AC,Premium Tatkal,JU,PNBE,4,Child,526,7,8,Superfast,27,No_Special_Consideration,No,110.0,0,6,2,244
3AC,General,NJP,KOAA,3,Adult,550,18,19,Rajdhani,416,No_Special_Consideration,No,0.0,1,6,3,244
3AC,General,CSMT,ASR,3,Adult,258,3,16,Shatabdi,322,Defense Quota,Yes,0.0,1,6,4,244
Sleeper,Tatkal,SC,BCT,1,Adult,1708,5,17,Express,87,No_Special_Consideration,Yes,0.0,1,6,5,244
2AC,General,KOAA,BBS,4,Adult,1577,15,42,Express,364,Senior Citizen,No,0.0,1,6,6,244
Sleeper,Ladies,JHS,NDLS,2,Adult,1651,19,2,Rajdhani,346,No_Special_Consideration,No,0.0,1,6,0,244
2AC,General,LKO,BSB,3,Adult,1898,18,15,Superfast,74,Senior Citizen,Yes,0.0,1,6,1,244
1AC,Tatkal,JP,JU,2,Adult,592,16,10,Express,109,Senior Citizen,No,174.0,0,7,2,244
1AC,General,NJP,BSB,4,Senior Citizen,1599,9,13,Rajdhani,301,Defense Quota,Yes,91.0,0,7,3,244
2AC,Premium Tatkal,BSB,LKO,4,Senior Citizen,959,19,9,Superfast,346,Defense Quota,No,0.0,1,7,4,244
Sleeper,General,PNBE,BCT,5,Child,1844,18,5,Express,149,Defense Quota,No,0.0,1,7,5,244
1AC,General,HWH,SC,5,Senior Citizen,1970,18,34,Shatabdi,363,No_Special_Consideration,Yes,0.0,1,7,6,244
3AC,Tatkal,MMCT,CNB,5,Child,202,11,41,Express,356,Defense Quota,Yes,0.0,1,7,0,244
3AC,Premium Tatkal,UMB,CSMT,3,Child,393,4,27,Superfast,76,No_Special_Consideration,Yes,0.0,1,7,1,244
3AC,General,LTT,BCT,4,Child,1036,5,12,Rajdhani,489,Defense Quota,No,49.0,0,7,2,244
1AC,Ladies,LTT,BCT,2,Senior Citizen,1201,16,41,Shatabdi,145,Senior Citizen,No,0.0,1,7,3,244
Sleeper,Tatkal,JP,HWH,2,Child,1521,19,35,Rajdhani,4,Senior Citizen,Yes,91.0,0,7,4,244
Sleeper,Ladies,NDLS,LKO,4,Senior Citizen,966,12,3,Rajdhani,276,Defense Quota,Yes,167.0,0,7,5,244
Sleeper,General,BBS,SBC,4,Child,1499,19,32,Shatabdi,447,Senior Citizen,Yes,0.0,1,7,6,244
2AC,Ladies,MAS,BCT,3,Adult,1215,15,37,Rajdhani,27,Defense Quota,No,106.0,0,7,0,244
1AC,General,SBC,CSMT,4,Adult,908,3,6,Express,425,Senior Citizen,Yes,0.0,1,7,1,244
3AC,Premium Tatkal,JP,ADI,2,Senior Citizen,452,10,13,Rajdhani,439,No_Special_Consideration,Yes,0.0,1,7,2,244
Sleeper,General,CSMT,GKP,3,Senior Citizen,791,10,24,Rajdhani,355,Defense Quota,No,36.0,0,7,3,244
3AC,Ladies,MAS,PNBE,1,Adult,1346,15,22,Shatabdi,390,Senior Citizen,Yes,0.0,1,7,4,244
Sleeper,General,HWH,PNBE,3,Adult,1490,9,12,Express,327,Defense Quota,Yes,144.0,0,7,5,244
3AC,General,JU,NDLS,1,Child,863,13,41,Rajdhani,134,No_Special_Consideration,No,117.0,0,7,6,244
1AC,Tatkal,MAS,BSB,2,Adult,1222,8,3,Superfast,348,Senior Citizen,No,188.0,0,7,0,244
3AC,General,BBS,SBC,2,Adult,1641,12,45,Superfast,468,Defense Quota,No,26.0,0,7,1,244
Sleeper,Ladies,HWH,LKO,2,Senior Citizen,456,13,5,Superfast,458,Defense Quota,No,158.0,0,7,2,244
1AC,Ladies,UMB,SBC,3,Senior Citizen,1889,17,37,Express,391,Senior Citizen,No,199.0,0,7,3,244
2AC,Ladies,HWH,CNB,5,Senior Citizen,519,9,30,Superfast,49,Senior Citizen,No,0.0,1,7,4,244
Sleeper,General,BCT,BSB,3,Adult,357,3,25,Shatabdi,445,Defense Quota,Yes,23.0,0,7,5,244
3AC,Tatkal,BCT,KOAA,1,Senior Citizen,1183,11,36,Rajdhani,75,Senior Citizen,Yes,63.0,0,7,6,244
1AC,Tatkal,HWH,BSB,3,Adult,1447,15,14,Rajdhani,35,Senior Citizen,No,7.0,0,7,0,244
2AC,General,PNBE,GKP,3,Adult,312,6,7,Shatabdi,135,Senior Citizen,No,0.0,1,7,1,244
Sleeper,Tatkal,SC,LKO,1,Child,1174,10,34,Superfast,317,No_Special_Consideration,No,0.0,1,7,2,244
1AC,Premium Tatkal,ASR,NJP,2,Senior Citizen,1594,18,45,Shatabdi,379,No_Special_Consideration,Yes,0.0,1,7,3,244
2AC,Tatkal,MAS,UMB,2,Senior Citizen,1524,15,23,Express,5,Senior Citizen,Yes,14.0,0,7,4,244
2AC,Tatkal,SBC,JP,5,Adult,1098,14,43,Rajdhani,251,Defense Quota,Yes,17.0,0,8,5,244
3AC,Premium Tatkal,BCT,JU,1,Child,957,3,16,Shatabdi,272,No_Special_Consideration,No,0.0,1,8,6,244
2AC,Tatkal,MAS,GKP,4,Adult,1727,13,23,Superfast,127,No_Special_Consideration,No,0.0,1,8,0,244
Sleeper,Ladies,ASR,LTT,4,Senior Citizen,1369,17,11,Shatabdi,464,Defense Quota,Yes,155.0,0,8,1,244
2AC,Ladies,NJP,ADI,1,Senior Citizen,629,10,44,Rajdhani,420,No_Special_Consideration,No,0.0,1,8,2,244
Sleeper,Premium Tatkal,LKO,PNBE,2,Child,583,15,7,Rajdhani,409,Defense Quota,Yes,0.0,1,8,3,244
3AC,Ladies,SC,SBC,1,Adult,210,18,3,Rajdhani,253,No_Special_Consideration,Yes,0.0,1,8,4,244
1AC,Ladies,JHS,NDLS,3,Child,1290,8,40,Rajdhani,463,No_Special_Consideration,Yes,0.0,1,8,5,244
1AC,General,ADI,LKO,4,Child,1786,10,3,Rajdhani,177,Defense Quota,No,115.0,0,8,6,244
3AC,General,SC,HWH,5,Child,1570,17,38,Superfast,80,Defense Quota,Yes,0.0,1,8,0,244
1AC,Tatkal,JU,MAS,1,Senior Citizen,1978,19,2,Superfast,265,Senior Citizen,No,49.0,0,8,1,244
Sleeper,General,BBS,BSB,3,Child,908,5,26,Shatabdi,243,Senior Citizen,No,55.0,0,8,2,244
1AC,Premium Tatkal,CNB,GKP,4,Child,1010,7,38,Superfast,253,Senior Citizen,No,13.0,0,8,3,244
3AC,Premium Tatkal,CSMT,UMB,2,Adult,616,12,37,Rajdhani,134,No_Special_Consideration,Yes,0.0,1,8,4,244
1AC,Tatkal,HWH,NDLS,5,Adult,601,14,24,Shatabdi,135,Senior Citizen,Yes,152.0,0,8,5,244
3AC,Tatkal,MMCT,BBS,5,Child,814,18,40,Express,227,No_Special_Consideration,Yes,36.0,0,8,6,244
1AC,Premium Tatkal,MMCT,BCT,3,Child,1419,12,11,Express,267,Defense Quota,No,162.0,0,8,0,244
2AC,Premium Tatkal,ADI,ADI,1,Child,1583,2,33,Express,284,No_Special_Consideration,Yes,84.0,0,8,1,244
Sleeper,Ladies,UMB,CSMT,4,Adult,1078,2,21,Express,62,Defense Quota,No,0.0,1,8,2,244
1AC,Premium Tatkal,KOAA,NJP,2,Senior Citizen,1338,17,23,Superfast,72,No_Special_Consideration,No,0.0,1,8,3,244
1AC,General,HWH,UMB,5,Adult,884,2,30,Superfast,54,Defense Quota,No,2.0,0,8,4,244
3AC,General,JHS,BCT,3,Adult,1951,10,24,Rajdhani,182,Defense Quota,No,0.0,1,8,5,244
3AC,General,SC,SBC,1,Child,906,14,5,Shatabdi,212,Senior Citizen,No,0.0,1,8,6,244
1AC,General,JHS,CNB,4,Adult,1433,9,18,Shatabdi,391,Senior Citizen,Yes,142.0,0,8,0,244
1AC,Ladies,CNB,GKP,1,Adult,1852,12,10,Shatabdi,88,Senior Citizen,No,0.0,1,8,1,244
2AC,Ladies,JU,GKP,5,Child,688,8,14,Express,350,No_Special_Consideration,No,0.0,1,8,2,244
2AC,Premium Tatkal,MAS,JU,1,Senior Citizen,1475,19,9,Express,455,Senior Citizen,No,0.0,1,8,3,244
3AC,Ladies,LKO,NDLS,4,Adult,273,4,7,Shatabdi,321,Senior Citizen,No,93.0,0,8,4,244
1AC,Ladies,PNBE,CSMT,3,Senior Citizen,521,6,12,Rajdhani,265,Defense Quota,Yes,24.0,0,8,5,244
2AC,Premium Tatkal,LKO,SC,2,Child,1524,12,14,Shatabdi,333,Senior Citizen,Yes,0.0,1,8,6,244
