Class of Travel,Quota,Source Station,Destination Station,Number of Passengers,Age of Passengers,Travel Distance,Number of Stations,Travel Time,Train Type,Seat Availability,Special Considerations,Holiday or Peak Season,Waitlist Position,Confirmation Status,journey_month,journey_dayofweek,days_before_journey,is_peak_or_holiday,seat_pressure,route_length_per_stop,booking_urgency_bucket
2AC,Tatkal,UMB,ASR,5,Child,982,7,9,Express,352,Defense Quota,No,0.0,1,1,3,244,0,0.014164305949008499,122.75,early
2AC,Tatkal,PNBE,KOAA,2,Senior Citizen,785,15,24,Rajdhani,166,No_Special_Consideration,Yes,0.0,1,1,4,244,1,0.011976047904191617,49.0625,early
3AC,Premium Tatkal,NJP,KOAA,1,Child,1913,9,18,Express,18,No_Special_Consideration,No,0.0,1,1,5,244,0,0.05263157894736842,191.3,early
3AC,Tatkal,JHS,LTT,4,Adult,959,4,45,Shatabdi,383,No_Special_Consideration,No,80.0,0,1,6,244,0,0.010416666666666666,191.8,early
3AC,Premium Tatkal,SC,LTT,2,Child,1147,15,36,Rajdhani,329,No_Special_Consideration,Yes,134.0,0,1,0,244,1,0.006060606060606061,71.6875,early
1AC,Tatkal,CSMT,CNB,2,Child,1791,12,9,Rajdhani,74,Defense Quota,No,0.0,1,1,1,244,0,0.02666666666666667,137.76923076923077,early
1AC,Tatkal,KOAA,UMB,4,Child,291,3,10,Rajdhani,35,Senior Citizen,No,0.0,1,1,2,244,0,0.1111111111111111,72.75,early
3AC,Tatkal,MMCT,CSMT,4,Adult,1526,11,14,Express,396,Senior Citizen,No,12.0,0,1,3,244,0,0.010075566750629723,127.16666666666667,early
1AC,General,PNBE,ADI,5,Adult,191,4,16,Rajdhani,378,Defense Quota,Yes,0.0,1,1,4,244,1,0.013192612137203167,38.2,early
3AC,Tatkal,SC,BCT,2,Senior Citizen,1109,13,32,Rajdhani,130,Defense Quota,No,0.0,1,1,5,244,0,0.015267175572519083,79.21428571428571,early
2AC,General,LKO,JHS,2,Senior Citizen,1362,4,42,Rajdhani,78,No_Special_Consideration,Yes,0.0,1,1,6,244,1,0.02531645569620253,272.4,early
2AC,Tatkal,GKP,MMCT,2,Adult,1339,12,38,Express,202,No_Special_Consideration,Yes,107.0,0,1,0,244,1,0.009852216748768473,103.0,early
Sleeper,Premium Tatkal,CSMT,HWH,4,Adult,1069,8,21,Shatabdi,219,No_Special_Consideration,Yes,13.0,0,1,1,244,1,0.01818181818181818,118.77777777777777,early
1AC,Ladies,LTT,SBC,4,Child,1711,19,25,Shatabdi,211,Senior Citizen,No,0.0,1,1,2,244,0,0.018867924528301886,85.55,early
2AC,Premium Tatkal,JP,MMCT,5,Adult,641,19,5,Express,173,No_Special_Consideration,Yes,0.0,1,1,3,244,1,0.028735632183908046,32.05,early
Sleeper,Ladies,HWH,SBC,3,Child,349,5,14,Shatabdi,384,No_Special_Consideration,No,0.0,1,1,4,244,0,0.007792207792207792,58.166666666666664,early
1AC,Ladies,CSMT,CNB,1,Child,1407,18,2,Express,17,No_Special_Consideration,No,117.0,0,1,5,244,0,0.05555555555555555,74.05263157894737,early
Sleeper,Tatkal,BBS,ADI,2,Senior Citizen,583,15,4,Shatabdi,270,Defense Quota,Yes,0.0,1,1,6,244,1,0.007380073800738007,36.4375,early
3AC,Ladies,JHS,MMCT,5,Adult,640,18,44,Rajdhani,220,Senior Citizen,No,6.0,0,1,0,244,0,0.02262443438914027,33.68421052631579,early
1AC,General,ADI,MMCT,2,Senior Citizen,1185,3,23,Superfast,317,Senior Citizen,No,0.0,1,1,1,244,0,0.006289308176100629,296.25,early
3AC,Ladies,KOAA,MMCT,5,Adult,1576,13,32,Superfast,311,Senior Citizen,No,0.0,1,1,2,244,0,0.016025641025641024,112.57142857142857,early
3AC,Ladies,ADI,PNBE,2,Child,1169,6,37,Express,223,No_Special_Consideration,Yes,174.0,0,1,3,244,1,0.008928571428571428,167.0,early
Sleeper,Ladies,JP,ADI,5,Senior Citizen,883,9,26,Rajdhani,103,Senior Citizen,No,130.0,0,2,4,244,0,0.04807692307692308,88.3,early
3AC,Tatkal,BCT,BSB,3,Adult,168,13,26,Express,193,Senior Citizen,Yes,0.0,1,2,5,244,1,0.015463917525773196,12.0,early
1AC,General,GKP,LTT,5,Senior Citizen,1064,8,22,Superfast,316,Senior Citizen,Yes,139.0,0,2,6,244,1,0.015772870662460567,118.22222222222223,early
2AC,Tatkal,MAS,NDLS,2,Child,1587,19,42,Rajdhani,82,Senior Citizen,No,0.0,1,2,0,244,0,0.024096385542168676,79.35,early
3AC,Ladies,LTT,GKP,3,Senior Citizen,668,10,34,Superfast,72,No_Special_Consideration,No,0.0,1,2,1,244,0,0.0410958904109589,60.72727272727273,early
3AC,Ladies,MMCT,NDLS,3,Adult,139,16,9,Rajdhani,32,No_Special_Consideration,No,72.0,0,2,2,244,0,0.09090909090909091,8.176470588235293,early
2AC,General,BBS,HWH,3,Child,1604,10,3,Express,322,Senior Citizen,Yes,33.0,0,2,3,244,1,0.009287925696594427,145.8181818181818,early
1AC,General,BCT,ADI,5,Senior Citizen,1157,5,42,Express,495,Senior Citizen,Yes,102.0,0,2,4,244,1,0.010080645161290322,192.83333333333334,early
Sleeper,Ladies,HWH,HWH,1,Senior Citizen,1275,9,16,Express,323,Defense Quota,No,0.0,1,2,5,244,0,0.0030864197530864196,127.5,early
3AC,Tatkal,LTT,HWH,2,Child,741,11,5,Rajdhani,315,No_Special_Consideration,No,105.0,0,2,6,244,0,0.006329113924050633,61.75,early
3AC,Ladies,UMB,NJP,4,Child,852,6,9,Superfast,414,Defense Quota,No,0.0,1,2,0,244,0,0.00963855421686747,121.71428571428571,early
1AC,Tatkal,LTT,HWH,2,Child,892,19,27,Shatabdi,232,Senior Citizen,No,127.0,0,2,1,244,0,0.008583690987124463,44.6,early
1AC,Premium Tatkal,MAS,BSB,2,Child,729,19,38,Shatabdi,322,No_Special_Consideration,Yes,0.0,1,2,2,244,1,0.006191950464396285,36.45,early
3AC,General,JP,JHS,2,Child,1914,4,26,Express,182,Senior Citizen,No,0.0,1,2,3,244,0,0.01092896174863388,382.8,early
2AC,Premium Tatkal,LKO,NDLS,5,Child,682,14,10,Shatabdi,439,No_Special_Consideration,No,136.0,0,2,4,244,0,0.011363636363636364,45.46666666666667,early
Sleeper,Premium Tatkal,NJP,CSMT,2,Senior Citizen,1720,4,17,Superfast,275,Defense Quota,No,0.0,1,2,5,244,0,0.007246376811594203,344.0,early
Sleeper,Premium Tatkal,MAS,BSB,5,Senior Citizen,1443,13,12,Rajdhani,184,Senior Citizen,Yes,37.0,0,2,6,244,1,0.02702702702702703,103.07142857142857,early
2AC,General,CSMT,LKO,5,Child,636,13,33,Rajdhani,310,Defense Quota,No,0.0,1,2,0,244,0,0.01607717041800643,45.42857142857143,early
1AC,General,CNB,UMB,2,Senior Citizen,960,17,36,Rajdhani,131,No_Special_Consideration,No,0.0,1,2,1,244,0,0.015151515151515152,53.333333333333336,early
2AC,Tatkal,PNBE,MMCT,1,Child,1404,19,34,Shatabdi,469,No_Special_Consideration,No,0.0,1,2,2,244,0,0.002127659574468085,70.2,early
3AC,Premium Tatkal,PNBE,JU,5,Child,326,5,29,Superfast,55,Defense Quota,No,0.0,1,2,3,244,0,0.08928571428571429,54.333333333333336,early
3AC,General,UMB,NDLS,4,Child,712,16,28,Shatabdi,445,Senior Citizen,Yes,0.0,1,2,4,244,1,0.008968609865470852,41.88235294117647,early
3AC,Tatkal,ASR,LKO,3,Child,1389,12,9,Express,131,No_Special_Consideration,Yes,0.0,1,2,5,244,1,0.022727272727272728,106.84615384615384,early
3AC,Premium Tatkal,BSB,LTT,5,Child,452,17,32,Rajdhani,382,Senior Citizen,Yes,66.0,0,2,6,244,1,0.013054830287206266,25.11111111111111,early
1AC,General,BBS,NJP,2,Adult,1955,17,13,Shatabdi,368,Defense Quota,Yes,0.0,1,2,0,244,1,0.005420054200542005,108.61111111111111,early
3AC,Tatkal,LTT,MAS,2,Child,134,16,14,Express,415,No_Special_Consideration,Yes,0.0,1,2,1,244,1,0.004807692307692308,7.882352941176471,early
2AC,Ladies,BBS,UMB,2,Child,1426,9,23,Shatabdi,147,Defense Quota,No,0.0,1,2,2,244,0,0.013513513513513514,142.6,early
3AC,Premium Tatkal,GKP,NJP,5,Adult,1330,5,25,Rajdhani,223,Defense Quota,No,0.0,1,2,3,244,0,0.022321428571428572,221.66666666666666,early
3AC,Ladies,UMB,MMCT,3,Child,526,12,24,Superfast,486,No_Special_Consideration,Yes,119.0,0,2,4,244,1,0.006160164271047228,40.46153846153846,early
3AC,Ladies,LTT,ASR,3,Senior Citizen,694,10,14,Express,417,Senior Citizen,Yes,0.0,1,3,5,244,1,0.007177033492822967,63.09090909090909,early
2AC,Premium Tatkal,PNBE,PNBE,4,Child,1919,18,43,Express,129,Senior Citizen,Yes,0.0,1,3,6,244,1,0.03076923076923077,101.0,early
3AC,Premium Tatkal,HWH,CNB,5,Senior Citizen,460,6,20,Express,467,No_Special_Consideration,No,0.0,1,3,0,244,0,0.010683760683760684,65.71428571428571,early
3AC,Premium Tatkal,MAS,MAS,2,Child,761,10,31,Superfast,102,Senior Citizen,No,0.0,1,3,1,244,0,0.019417475728155338,69.18181818181819,early
2AC,Tatkal,ASR,JHS,4,Child,1412,16,40,Superfast,277,No_Special_Consideration,No,0.0,1,3,2,244,0,0.014388489208633094,83.05882352941177,early
1AC,General,NDLS,SC,5,Adult,1679,16,33,Shatabdi,324,Senior Citizen,Yes,0.0,1,3,3,244,1,0.015384615384615385,98.76470588235294,early
2AC,General,BCT,NDLS,5,Child,1094,5,32,Superfast,104,Defense Quota,No,0.0,1,3,4,244,0,0.047619047619047616,182.33333333333334,early
2AC,Ladies,NJP,BBS,4,Child,1438,7,39,Superfast,239,No_Special_Consideration,No,0.0,1,3,5,244,0,0.016666666666666666,179.75,early
1AC,Ladies,JP,GKP,5,Senior Citizen,855,11,45,Shatabdi,451,Senior Citizen,No,0.0,1,3,6,244,0,0.011061946902654867,71.25,early
3AC,Premium Tatkal,JHS,JU,4,Adult,510,19,33,Superfast,417,Senior Citizen,No,0.0,1,3,0,244,0,0.009569377990430622,25.5,early
3AC,Tatkal,PNBE,ADI,5,Child,1063,16,34,Rajdhani,446,Defense Quota,Yes,0.0,1,3,1,244,1,0.011185682326621925,62.529411764705884,early
1AC,Premium Tatkal,HWH,LTT,5,Senior Citizen,1065,17,8,Shatabdi,196,Defense Quota,Yes,0.0,1,3,2,244,1,0.025380710659898477,59.166666666666664,early
3AC,Ladies,SC,CSMT,2,Child,236,4,38,Shatabdi,388,Senior Citizen,No,0.0,1,3,3,244,0,0.005141388174807198,47.2,early
Sleeper,Tatkal,CSMT,SC,1,Child,1710,17,11,Rajdhani,203,Defense Quota,No,37.0,0,3,4,244,0,0.004901960784313725,95.0,early
3AC,Ladies,JHS,MAS,4,Child,1681,14,23,Shatabdi,434,Senior Citizen,No,0.0,1,3,5,244,0,0.009195402298850575,112.06666666666666,early
1AC,General,ASR,LTT,1,Adult,1032,3,37,Shatabdi,222,Senior Citizen,Yes,0.0,1,3,6,244,1,0.004484304932735426,258.0,early
3AC,Tatkal,JU,BSB,1,Senior Citizen,1193,15,45,Express,211,Senior Citizen,No,0.0,1,3,0,244,0,0.0047169811320754715,74.5625,early
1AC,Ladies,BCT,NDLS,3,Adult,1555,14,12,Rajdhani,488,Defense Quota,No,196.0,0,3,1,244,0,0.006134969325153374,103.66666666666667,early
2AC,Tatkal,BSB,CSMT,4,Senior Citizen,1129,4,20,Express,76,Senior Citizen,No,88.0,0,3,2,244,0,0.05194805194805195,225.8,early
1AC,Tatkal,JU,BSB,5,Senior Citizen,1956,8,11,Express,163,No_Special_Consideration,No,0.0,1,3,3,244,0,0.03048780487804878,217.33333333333334,early
3AC,General,UMB,UMB,5,Senior Citizen,192,7,13,Superfast,212,Senior Citizen,Yes,0.0,1,3,4,244,1,0.023474178403755867,24.0,early
Sleeper,Tatkal,MMCT,LTT,2,Senior Citizen,1492,14,39,Express,262,No_Special_Consideration,No,0.0,1,3,5,244,0,0.0076045627376425855,99.46666666666667,early
2AC,Tatkal,SBC,HWH,4,Child,552,3,6,Rajdhani,332,Senior Citizen,Yes,58.0,0,3,6,244,1,0.012012012012012012,138.0,early
Sleeper,Premium Tatkal,GKP,MMCT,2,Adult,88,7,17,Superfast,493,Senior Citizen,Yes,0.0,1,3,0,244,1,0.004048582995951417,11.0,early
Sleeper,General,CNB,CSMT,1,Senior Citizen,790,9,26,Superfast,278,Senior Citizen,Yes,0.0,1,3,1,244,1,0.0035842293906810036,79.0,early
3AC,Premium Tatkal,NJP,CNB,2,Senior Citizen,1296,3,35,Shatabdi,297,Senior Citizen,No,0.0,1,3,2,244,0,0.006711409395973154,324.0,early
3AC,Tatkal,ADI,CNB,4,Child,1343,7,12,Superfast,247,Senior Citizen,Yes,0.0,1,3,3,244,1,0.016129032258064516,167.875,early
1AC,Premium Tatkal,CSMT,JP,5,Adult,844,5,14,Express,448,Senior Citizen,Yes,181.0,0,3,4,244,1,0.011135857461024499,140.66666666666666,early
Sleeper,Ladies,PNBE,SC,1,Child,1743,11,41,Rajdhani,467,No_Special_Consideration,No,0.0,1,3,5,244,0,0.002136752136752137,145.25,early
3AC,General,BCT,UMB,5,Adult,603,4,5,Shatabdi,376,No_Special_Consideration,Yes,0.0,1,3,6,244,1,0.013262599469496022,120.6,early
3AC,Premium Tatkal,JP,NDLS,1,Child,917,7,14,Express,43,Senior Citizen,No,0.0,1,3,0,244,0,0.022727272727272728,114.625,early
3AC,General,PNBE,SBC,1,Senior Citizen,293,17,35,Rajdhani,241,No_Special_Consideration,Yes,0.0,1,4,1,244,1,0.004132231404958678,16.27777777777778,early
3AC,Premium Tatkal,JU,SBC,1,Child,463,15,27,Superfast,396,Defense Quota,Yes,0.0,1,4,2,244,1,0.0025188916876574307,28.9375,early
1AC,Tatkal,JU,UMB,1,Child,1336,14,12,Superfast,293,No_Special_Consideration,Yes,2.0,0,4,3,244,1,0.003401360544217687,89.06666666666666,early
2AC,Tatkal,SBC,GKP,1,Senior Citizen,1001,15,30,Shatabdi,479,Senior Citizen,Yes,0.0,1,4,4,244,1,0.0020833333333333333,62.5625,early
2AC,Premium Tatkal,ASR,BBS,3,Child,1376,6,39,Superfast,336,Defense Quota,No,92.0,0,4,5,244,0,0.008902077151335312,196.57142857142858,early
Sleeper,Tatkal,HWH,KOAA,3,Adult,816,15,22,Shatabdi,327,Defense Quota,No,0.0,1,4,6,244,0,0.009146341463414634,51.0,early
2AC,Tatkal,JP,KOAA,4,Adult,897,8,30,Rajdhani,481,No_Special_Consideration,No,24.0,0,4,0,244,0,0.008298755186721992,99.66666666666667,early
2AC,General,BSB,LTT,4,Child,132,13,20,Rajdhani,448,Senior Citizen,No,0.0,1,4,1,244,0,0.008908685968819599,9.428571428571429,early
2AC,General,JU,JHS,5,Child,278,9,7,Express,339,Senior Citizen,Yes,0.0,1,4,2,244,1,0.014705882352941176,27.8,early
1AC,General,BBS,JU,4,Child,910,2,27,Rajdhani,474,No_Special_Consideration,Yes,0.0,1,4,3,244,1,0.008421052631578947,303.3333333333333,early
1AC,Ladies,PNBE,SC,1,Child,1673,3,8,Superfast,414,Senior Citizen,No,78.0,0,4,4,244,0,0.0024096385542168677,418.25,early
Sleeper,General,NDLS,HWH,2,Senior Citizen,981,5,34,Superfast,9,Senior Citizen,Yes,0.0,1,4,5,244,1,0.2,163.5,early
2AC,General,HWH,JHS,4,Senior Citizen,620,15,21,Superfast,251,No_Special_Consideration,No,0.0,1,4,6,244,0,0.015873015873015872,38.75,early
Sleeper,Tatkal,SBC,NJP,1,Child,1956,9,20,Shatabdi,104,Senior Citizen,Yes,0.0,1,4,0,244,1,0.009523809523809525,195.6,early
2AC,General,CSMT,BBS,3,Senior Citizen,1198,9,22,Rajdhani,143,Senior Citizen,No,0.0,1,4,1,244,0,0.020833333333333332,119.8,early
2AC,Tatkal,MMCT,MMCT,3,Adult,748,15,39,Express,80,Defense Quota,No,0.0,1,4,2,244,0,0.037037037037037035,46.75,early
2AC,Tatkal,KOAA,HWH,2,Child,907,4,16,Express,277,No_Special_Consideration,No,147.0,0,4,3,244,0,0.007194244604316547,181.4,early
1AC,Ladies,ADI,BSB,4,Child,728,16,23,Shatabdi,8,Defense Quota,No,0.0,1,4,4,244,0,0.4444444444444444,42.8235294117647,early
1AC,General,PNBE,JP,3,Senior Citizen,207,8,9,Express,209,Senior Citizen,Yes,0.0,1,4,5,244,1,0.014285714285714285,23.0,early
2AC,Tatkal,HWH,CNB,1,Adult,1073,3,4,Superfast,402,Defense Quota,No,0.0,1,4,6,244,0,0.0024813895781637717,268.25,early
Sleeper,Ladies,MMCT,ADI,1,Senior Citizen,1217,3,44,Express,319,Defense Quota,No,93.0,0,4,0,244,0,0.003125,304.25,early
3AC,Tatkal,SC,BSB,2,Senior Citizen,1017,4,10,Express,26,Defense Quota,Yes,0.0,1,4,1,244,1,0.07407407407407407,203.4,early
3AC,Ladies,BCT,JP,3,Senior Citizen,838,10,18,Shatabdi,392,Senior Citizen,Yes,0.0,1,4,2,244,1,0.007633587786259542,76.18181818181819,early
1AC,General,NDLS,SBC,1,Adult,1063,6,18,Shatabdi,85,Defense Quota,No,0.0,1,4,3,244,0,0.011627906976744186,151.85714285714286,early
2AC,General,CNB,ADI,1,Senior Citizen,511,13,9,Shatabdi,77,Defense Quota,Yes,0.0,1,4,4,244,1,0.01282051282051282,36.5,early
3AC,Premium Tatkal,LTT,JU,5,Adult,1951,3,7,Superfast,420,Senior Citizen,No,34.0,0,4,5,244,0,0.011876484560570071,487.75,early
1AC,Tatkal,BBS,MAS,4,Child,1188,18,35,Rajdhani,176,Senior Citizen,Yes,0.0,1,4,6,244,1,0.022598870056497175,62.526315789473685,early
2AC,Ladies,SBC,LKO,2,Adult,1592,6,40,Rajdhani,231,No_Special_Consideration,No,0.0,1,4,0,244,0,0.008620689655172414,227.42857142857142,early
1AC,Tatkal,ADI,GKP,3,Adult,601,10,35,Shatabdi,251,No_Special_Consideration,Yes,0.0,1,4,1,244,1,0.011904761904761904,54.63636363636363,early
3AC,Premium Tatkal,LKO,SBC,2,Child,443,2,34,Express,354,Senior Citizen,Yes,0.0,1,4,2,244,1,0.005633802816901409,147.66666666666666,early
2AC,Premium Tatkal,BSB,MMCT,4,Child,1582,12,11,Shatabdi,335,No_Special_Consideration,No,0.0,1,5,3,244,0,0.011904761904761904,121.6923076923077,early
3AC,General,BBS,ASR,5,Child,562,13,15,Shatabdi,229,No_Special_Consideration,Yes,109.0,0,5,4,244,1,0.021739130434782608,40.142857142857146,early
2AC,Premium Tatkal,SBC,BSB,3,Senior Citizen,1027,18,7,Express,482,Defense Quota,No,0.0,1,5,5,244,0,0.006211180124223602,54.05263157894737,early
3AC,Ladies,CSMT,LTT,4,Adult,1138,2,25,Rajdhani,468,No_Special_Consideration,No,0.0,1,5,6,244,0,0.008528784648187633,379.3333333333333,early
1AC,General,BCT,MMCT,2,Adult,744,10,2,Rajdhani,433,Defense Quota,No,0.0,1,5,0,244,0,0.004608294930875576,67.63636363636364,early
Sleeper,Tatkal,LKO,SC,2,Senior Citizen,220,2,15,Rajdhani,404,No_Special_Consideration,Yes,0.0,1,5,1,244,1,0.0049382716049382715,73.33333333333333,early
1AC,Premium Tatkal,SC,SBC,1,Senior Citizen,1266,19,46,Rajdhani,394,Senior Citizen,Yes,0.0,1,5,2,244,1,0.002531645569620253,63.3,early
2AC,Tatkal,BSB,BSB,2,Child,1506,19,12,Shatabdi,167,Senior Citizen,Yes,0.0,1,5,3,244,1,0.011904761904761904,75.3,early
2AC,Tatkal,LKO,LKO,3,Adult,1441,12,14,Superfast,191,Defense Quota,Yes,0.0,1,5,4,244,1,0.015625,110.84615384615384,early
Sleeper,Tatkal,CSMT,ASR,4,Adult,1227,19,14,Superfast,242,Senior Citizen,Yes,0.0,1,5,5,244,1,0.01646090534979424,61.35,early
Sleeper,Tatkal,SC,GKP,2,Adult,298,12,8,Superfast,323,No_Special_Consideration,Yes,0.0,1,5,6,244,1,0.006172839506172839,22.923076923076923,early
1AC,Tatkal,BSB,ADI,5,Senior Citizen,765,19,24,Shatabdi,311,Senior Citizen,No,0.0,1,5,0,244,0,0.016025641025641024,38.25,early
3AC,Ladies,MAS,KOAA,1,Adult,1217,13,19,Shatabdi,61,Senior Citizen,No,45.0,0,5,1,244,0,0.016129032258064516,86.92857142857143,early
Sleeper,Ladies,JP,ADI,2,Child,122,10,22,Shatabdi,307,No_Special_Consideration,No,0.0,1,5,2,244,0,0.006493506493506494,11.090909090909092,early
Sleeper,Tatkal,SC,KOAA,2,Child,838,11,31,Shatabdi,186,Senior Citizen,Yes,0.0,1,5,3,244,1,0.0106951871657754,69.83333333333333,early
3AC,Tatkal,SC,LTT,2,Child,977,14,42,Rajdhani,235,Defense Quota,Yes,0.0,1,5,4,244,1,0.00847457627118644,65.13333333333334,early
2AC,Tatkal,BBS,PNBE,2,Senior Citizen,993,12,14,Rajdhani,325,Defense Quota,Yes,0.0,1,5,5,244,1,0.006134969325153374,76.38461538461539,early
1AC,Premium Tatkal,CNB,MMCT,4,Adult,451,11,2,Shatabdi,15,Defense Quota,Yes,0.0,1,5,6,244,1,0.25,37.583333333333336,early
2AC,Ladies,JU,UMB,2,Child,1687,13,33,Superfast,176,Senior Citizen,Yes,0.0,1,5,0,244,1,0.011299435028248588,120.5,early
Sleeper,Premium Tatkal,MAS,CNB,3,Child,1752,8,17,Rajdhani,272,No_Special_Consideration,No,74.0,0,5,1,244,0,0.01098901098901099,194.66666666666666,early
2AC,General,ADI,UMB,1,Adult,1027,7,13,Rajdhani,38,Senior Citizen,No,106.0,0,5,2,244,0,0.02564102564102564,128.375,early
3AC,General,GKP,JP,4,Child,921,19,28,Superfast,148,Senior Citizen,No,0.0,1,5,3,244,0,0.026845637583892617,46.05,early
Sleeper,Tatkal,JHS,MMCT,2,Child,1361,3,30,Shatabdi,427,Defense Quota,No,0.0,1,5,4,244,0,0.004672897196261682,340.25,early
1AC,Premium Tatkal,ASR,SBC,3,Adult,340,13,39,Superfast,435,No_Special_Consideration,Yes,97.0,0,5,5,244,1,0.006880733944954129,24.285714285714285,early
Sleeper,Ladies,GKP,KOAA,2,Child,1437,8,31,Shatabdi,66,No_Special_Consideration,No,71.0,0,5,6,244,0,0.029850746268656716,159.66666666666666,early
Sleeper,General,ASR,CNB,2,Senior Citizen,1109,8,24,Rajdhani,204,No_Special_Consideration,No,0.0,1,5,0,244,0,0.00975609756097561,123.22222222222223,early
3AC,Tatkal,CNB,SC,2,Senior Citizen,971,2,37,Shatabdi,325,Senior Citizen,Yes,0.0,1,5,1,244,1,0.006134969325153374,323.6666666666667,early
3AC,Premium Tatkal,CSMT,BBS,2,Adult,382,5,47,Shatabdi,13,Defense Quota,No,0.0,1,5,2,244,0,0.14285714285714285,63.666666666666664,early
3AC,General,GKP,LKO,2,Adult,967,5,44,Shatabdi,418,No_Special_Consideration,Yes,0.0,1,5,3,244,1,0.00477326968973747,161.16666666666666,early
1AC,General,SBC,NJP,1,Adult,1898,13,31,Express,90,Defense Quota,Yes,127.0,0,5,4,244,1,0.01098901098901099,135.57142857142858,early
Sleeper,Ladies,HWH,PNBE,4,Child,286,12,23,Shatabdi,129,Senior Citizen,Yes,0.0,1,5,5,244,1,0.03076923076923077,22.0,early
Sleeper,Ladies,BCT,NJP,3,Adult,1203,18,36,Express,432,Defense Quota,No,0.0,1,6,6,244,0,0.006928406466512702,63.31578947368421,early
2AC,Premium Tatkal,BCT,KOAA,5,Senior Citizen,417,3,31,Shatabdi,62,Defense Quota,Yes,0.0,1,6,0,244,1,0.07936507936507936,104.25,early
1AC,Premium Tatkal,SC,HWH,1,Child,898,13,38,Rajdhani,25,No_Special_Consideration,Yes,184.0,0,6,1,244,1,0.038461538461538464,64.14285714285714,early
2AC,Ladies,LTT,BSB,5,Senior Citizen,765,3,11,Shatabdi,412,Defense Quota,No,2.0,0,6,2,244,0,0.012106537530266344,191.25,early
Sleeper,Ladies,NDLS,JHS,2,Senior Citizen,583,18,36,Superfast,376,No_Special_Consideration,Yes,146.0,0,6,3,244,1,0.005305039787798408,30.68421052631579,early
Sleeper,Tatkal,MAS,BBS,2,Child,77,15,4,Express,200,Defense Quota,No,0.0,1,6,4,244,0,0.009950248756218905,4.8125,early
1AC,Ladies,UMB,ASR,2,Child,106,4,11,Express,0,Defense Quota,No,0.0,1,6,5,244,0,2.0,21.2,early
1AC,Ladies,SC,BBS,2,Child,847,14,27,Superfast,424,No_Special_Consideration,No,140.0,0,6,6,244,0,0.004705882352941176,56.46666666666667,early
1AC,Premium Tatkal,LTT,BBS,4,Adult,1836,6,23,Express,409,Senior Citizen,Yes,0.0,1,6,0,244,1,0.00975609756097561,262.2857142857143,early
Sleeper,Ladies,SBC,CNB,3,Senior Citizen,1117,12,6,Shatabdi,42,No_Special_Consideration,No,0.0,1,6,1,244,0,0.06976744186046512,85.92307692307692,early
2AC,General,NDLS,BSB,1,Child,1651,4,47,Rajdhani,409,Senior Citizen,Yes,71.0,0,6,2,244,1,0.0024390243902439024,330.2,early
3AC,Ladies,CSMT,SC,4,Adult,1034,11,9,Shatabdi,312,Defense Quota,Yes,43.0,0,6,3,244,1,0.012779552715654952,86.16666666666667,early
3AC,Ladies,GKP,MMCT,2,Senior Citizen,1343,4,13,Shatabdi,21,No_Special_Consideration,No,0.0,1,6,4,244,0,0.09090909090909091,268.6,early
1AC,General,GKP,PNBE,2,Senior Citizen,1983,9,14,Express,336,No_Special_Consideration,Yes,0.0,1,6,5,244,1,0.005934718100890208,198.3,early
Sleeper,Ladies,MMCT,GKP,3,Child,98,2,28,Express,316,Senior Citizen,No,0.0,1,6,6,244,0,0.00946372239747634,32.666666666666664,early
Sleeper,Ladies,HWH,SBC,1,Senior Citizen,209,15,33,Rajdhani,299,No_Special_Consideration,Yes,126.0,0,6,0,244,1,0.0033333333333333335,13.0625,early
Sleeper,Premium Tatkal,CNB,ASR,2,Senior Citizen,215,8,15,Superfast,319,Senior Citizen,Yes,0.0,1,6,1,244,1,0.00625,23.88888888888889,early
3AC,General,JP,UMB,1,Adult,1589,12,12,Express,315,Defense Quota,No,0.0,1,6,2,244,0,0.0031645569620253164,122.23076923076923,early
3AC,Tatkal,LKO,PNBE,3,Adult,143,9,10,Superfast,43,Senior Citizen,Yes,0.0,1,6,3,244,1,0.06818181818181818,14.3,early
3AC,Tatkal,GKP,CNB,5,Child,547,8,28,Superfast,428,Senior Citizen,No,0.0,1,6,4,244,0,0.011655011655011656,60.77777777777778,early
2AC,General,BBS,PNBE,3,Senior Citizen,1704,11,24,Superfast,215,Senior Citizen,No,57.0,0,6,5,244,0,0.013888888888888888,142.0,early
3AC,General,MMCT,MMCT,1,Child,323,8,3,Rajdhani,465,Senior Citizen,Yes,142.0,0,6,6,244,1,0.002145922746781116,35.888888888888886,early
2AC,Tatkal,NDLS,GKP,5,Senior Citizen,1911,19,43,Superfast,59,No_Special_Consideration,Yes,178.0,0,6,0,244,1,0.08333333333333333,95.55,early
Sleeper,Premium Tatkal,JU,HWH,3,Adult,438,3,7,Superfast,477,Senior Citizen,No,0.0,1,6,1,244,0,0.006276150627615063,109.5,early
2AC,Ladies,BBS,BCT,4,Child,873,6,25,Shatabdi,198,Defense Quota,No,0.0,1,6,2,244,0,0.020100502512562814,124.71428571428571,early
1AC,Tatkal,CNB,LTT,5,Senior Citizen,1624,15,36,Rajdhani,51,No_Special_Consideration,Yes,86.0,0,6,3,244,1,0.09615384615384616,101.5,early
Sleeper,Ladies,LTT,MAS,2,Child,821,4,28,Shatabdi,469,Senior Citizen,Yes,3.0,0,6,4,244,1,0.00425531914893617,164.2,early
